:START_ID(Listing),:END_ID(Amenity),category:string,rank:int,is_nearest:boolean,straight_line_km:float,driving_distance_km:float,driving_duration_min:float,within_threshold:boolean,threshold_km:float,:TYPE
44868190,way/263506611,college_university,1,true,0.403,0.551,1.2,true,5.0,NEAR_AMENITY
44868190,way/1162981728,metro,1,true,0.394,0.932,1.8,true,3.0,NEAR_AMENITY
44868190,way/806860787,mall,1,true,0.372,0.55,1.2,true,5.0,NEAR_AMENITY
44868190,node/9587486344,market,1,true,0.386,0.56,1.2,true,2.0,NEAR_AMENITY
44868190,node/12546141701,supermarket,1,true,0.255,0.359,1.2,true,2.0,NEAR_AMENITY
44868190,way/165491105,park,1,true,0.675,1.08,2.0,true,5.0,NEAR_AMENITY
44868190,node/11868700614,bus_stop,1,true,0.09,0.223,0.7,true,2.0,NEAR_AMENITY
44063983,way/321939234,hospital,1,true,6.928,10.765,14.4,,,NEAR_AMENITY
44063983,way/1223354351,school,1,true,0.365,0.314,0.8,true,2.0,NEAR_AMENITY
44063983,way/321939965,college_university,1,true,2.29,3.246,5.6,true,5.0,NEAR_AMENITY
44063983,node/11586280307,metro,1,true,5.262,7.609,10.5,false,3.0,NEAR_AMENITY
44063983,way/1115566351,mall,1,true,0.572,0.57,1.6,true,5.0,NEAR_AMENITY
44063983,way/32587159,market,1,true,4.095,5.093,9.1,false,2.0,NEAR_AMENITY
44063983,node/11152431366,supermarket,1,true,0.644,1.011,2.8,true,2.0,NEAR_AMENITY
44063983,node/12647208019,park,1,true,0.228,0.263,0.8,true,5.0,NEAR_AMENITY
44063983,node/12241505434,bus_stop,1,true,0.428,0.526,1.4,true,2.0,NEAR_AMENITY
42561310,way/187895176,hospital,1,true,1.81,3.965,6.1,,,NEAR_AMENITY
42561310,way/1036206964,school,1,true,1.002,1.802,3.6,true,2.0,NEAR_AMENITY
42561310,way/192512338,college_university,1,true,1.421,2.256,3.9,true,5.0,NEAR_AMENITY
42561310,node/11586280298,metro,1,true,1.577,3.34,6.1,false,3.0,NEAR_AMENITY
42561310,way/605774020,mall,1,true,1.183,1.992,3.5,true,5.0,NEAR_AMENITY
42561310,way/263311733,market,1,true,1.678,2.739,5.0,false,2.0,NEAR_AMENITY
42561310,node/11612841316,supermarket,1,true,0.028,0.028,0.1,true,2.0,NEAR_AMENITY
42561310,node/14014006893,park,1,true,0.66,1.935,4.1,true,5.0,NEAR_AMENITY
42561310,node/12435545069,bus_stop,1,true,2.008,3.444,5.7,false,2.0,NEAR_AMENITY
43923505,way/1486203686,hospital,1,true,0.918,1.35,2.4,,,NEAR_AMENITY
43923505,way/961345419,school,1,true,0.221,0.22,0.5,true,2.0,NEAR_AMENITY
43923505,way/1497050825,college_university,1,true,0.964,1.277,2.3,true,5.0,NEAR_AMENITY
43923505,way/1162981728,metro,1,true,5.512,7.282,8.2,false,3.0,NEAR_AMENITY
43923505,way/1354146316,mall,1,true,0.782,1.048,2.1,true,5.0,NEAR_AMENITY
43923505,relation/2552505,market,1,true,0.147,0.262,0.5,true,2.0,NEAR_AMENITY
43923505,way/1042905823,supermarket,1,true,1.023,1.359,2.3,true,2.0,NEAR_AMENITY
43923505,way/189027781,park,1,true,0.221,0.28,0.6,true,5.0,NEAR_AMENITY
43923505,node/9042278313,bus_stop,1,true,0.079,0.113,0.3,true,2.0,NEAR_AMENITY
45255963,way/237664916,hospital,1,true,0.834,1.383,2.5,,,NEAR_AMENITY
45255963,way/458865802,school,1,true,0.172,0.216,0.4,true,2.0,NEAR_AMENITY
45255963,way/237665212,college_university,1,true,0.963,1.302,1.7,true,5.0,NEAR_AMENITY
45255963,way/1162981728,metro,1,true,4.993,6.247,6.8,false,3.0,NEAR_AMENITY
45255963,node/6536295071,mall,1,true,1.856,2.444,3.3,true,5.0,NEAR_AMENITY
45255963,way/715531292,market,1,true,0.604,0.773,1.3,true,2.0,NEAR_AMENITY
45255963,node/2458141596,supermarket,1,true,0.246,0.331,0.4,true,2.0,NEAR_AMENITY
45255963,way/457601645,park,1,true,0.681,0.703,0.9,true,5.0,NEAR_AMENITY
